,id_estacao,data_medicao,acumulado_chuva_15_min,acumulado_chuva_1_h,acumulado_chuva_4_h,acumulado_chuva_24_h,acumulado_chuva_96_h,acumulado_chuva_30_d,data_particao,primary_key
99,4,2024-03-23 03:15:00,0.0,0.0,6.2,57.0,68.0,68.0,2024-03-23,4_2024-03-23 03:15:00
100,4,2024-03-23 03:00:00,0.0,0.6,7.6,57.0,68.0,68.0,2024-03-23,4_2024-03-23 03:00:00
101,4,2024-03-23 02:30:00,0.0,0.8,9.6,57.2,68.0,68.0,2024-03-23,4_2024-03-23 02:30:00
102,4,2024-03-23 02:15:00,0.6,0.8,10.8,57.2,68.0,68.0,2024-03-23,4_2024-03-23 02:15:00
103,4,2024-03-23 02:45:00,0.0,0.6,9.0,57.2,68.0,68.0,2024-03-23,4_2024-03-23 02:45:00
104,4,2024-03-23 02:00:00,0.0,0.4,10.4,56.6,67.4,67.4,2024-03-23,4_2024-03-23 02:00:00
105,4,2024-03-23 01:45:00,0.2,0.4,10.8,56.6,67.4,67.4,2024-03-23,4_2024-03-23 01:45:00
106,4,2024-03-23 01:30:00,0.0,0.4,11.8,56.4,67.2,67.2,2024-03-23,4_2024-03-23 01:30:00
107,4,2024-03-23 01:15:00,0.2,1.6,11.8,56.4,67.2,67.2,2024-03-23,4_2024-03-23 01:15:00
108,4,2024-03-23 01:00:00,0.0,1.8,12.0,56.2,67.0,67.0,2024-03-23,4_2024-03-23 01:00:00
109,4,2024-03-23 00:15:00,0.4,3.8,12.8,54.8,65.6,65.6,2024-03-23,4_2024-03-23 00:15:00
110,4,2024-03-23 00:00:00,0.8,4.8,13.4,54.4,65.2,65.2,2024-03-23,4_2024-03-23 00:00:00
111,4,2024-03-23 00:30:00,1.2,4.2,13.4,56.0,66.8,66.8,2024-03-23,4_2024-03-23 00:30:00
112,4,2024-03-23 00:45:00,0.2,2.6,12.6,56.2,67.0,67.0,2024-03-23,4_2024-03-23 00:45:00
113,4,2024-03-23 06:00:00,0.0,0.0,0.6,57.0,68.0,68.0,2024-03-23,4_2024-03-23 06:00:00
114,4,2024-03-23 08:00:00,,0.2,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 08:00:00
115,5,2024-03-23 09:45:00,0.0,0.0,0.2,67.8,73.8,73.8,2024-03-23,5_2024-03-23 09:45:00
116,5,2024-03-23 09:30:00,0.0,0.0,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 09:30:00
