,id_estacao,data_medicao,acumulado_chuva_10_min,acumulado_chuva_1_h,acumulado_chuva_3_h,acumulado_chuva_6_h,acumulado_chuva_12_h,acumulado_chuva_24_h,acumulado_chuva_48_h,acumulado_chuva_72_h,acumulado_chuva_96_h,data_particao,primary_key
82,7595,2023-12-31 05:30:00,0.2,0.6000000000000001,0.6000000000000001,0.8,0.8,6.6,6.6,6.6,6.6,2023-12-31,7595_2023-12-31 05:30:00
83,7611,2023-12-31 05:50:00,0.2,1.8,1.8,2.0,2.4,7.6,7.6,7.6,7.8,2023-12-31,7611_2023-12-31 05:50:00
84,7601,2023-12-31 00:20:00,0.0,0.0,0.0,0.0,0.0,23.4,23.4,23.4,26.8,2023-12-31,7601_2023-12-31 00:20:00
85,7601,2023-12-31 01:00:00,0.2,3.0,3.0,3.0,3.0,26.4,26.4,26.4,29.6,2023-12-31,7601_2023-12-31 01:00:00
86,3215,2023-12-31 05:40:00,1.18,1.58,1.58,1.58,1.98,2.18,2.18,2.18,2.38,2023-12-31,3215_2023-12-31 05:40:00
87,3045,2023-12-31 05:40:00,0.2,0.2,0.2,0.2,0.4,6.36,6.36,6.36,6.76,2023-12-31,3045_2023-12-31 05:40:00
88,3043,2023-12-31 05:40:00,0.2,0.2,0.2,0.2,0.2,5.13,5.13,5.13,5.33,2023-12-31,3043_2023-12-31 05:40:00
89,3043,2023-12-31 06:30:00,0.0,0.2,0.2,0.2,0.2,5.13,5.13,5.13,5.33,2023-12-31,3043_2023-12-31 06:30:00
90,3043,2023-12-31 07:30:00,0.0,0.0,0.2,0.2,0.2,2.96,5.13,5.13,5.13,2023-12-31,3043_2023-12-31 07:30:00
91,3215,2023-12-31 09:00:00,0.0,0.0,0.0,1.97,2.37,2.5700000000000003,2.5700000000000003,2.5700000000000003,2.5700000000000003,2023-12-31,3215_2023-12-31 09:00:00
92,3215,2023-12-31 05:50:00,0.39,1.97,1.97,1.97,2.37,2.5700000000000003,2.5700000000000003,2.5700000000000003,2.77,2023-12-31,3215_2023-12-31 05:50:00
93,3215,2023-12-31 06:00:00,0.0,1.97,1.97,1.97,2.37,2.5700000000000003,2.5700000000000003,2.5700000000000003,2.77,2023-12-31,3215_2023-12-31 06:00:00
94,3215,2023-12-31 07:00:00,0.0,0.0,1.97,1.97,2.37,2.5700000000000003,2.5700000000000003,2.5700000000000003,2.77,2023-12-31,3215_2023-12-31 07:00:00
95,3215,2023-12-31 08:00:00,0.0,0.0,1.97,1.97,2.37,2.5700000000000003,2.5700000000000003,2.5700000000000003,2.5700000000000003,2023-12-31,3215_2023-12-31 08:00:00
96,7610,2023-12-31 05:20:00,0.6000000000000001,0.6000000000000001,0.8,0.8,1.8,2.2,2.2,2.2,2.4,2023-12-31,7610_2023-12-31 05:20:00
97,7595,2023-12-31 05:20:00,0.2,0.4,0.4,0.6000000000000001,0.6000000000000001,6.4,6.4,6.4,6.4,2023-12-31,7595_2023-12-31 05:20:00
98,7609,2023-12-31 05:10:00,0.0,0.2,0.2,0.2,0.2,6.4,6.4,6.4,7.2,2023-12-31,7609_2023-12-31 05:10:00
99,7614,2023-12-31 00:40:00,0.0,0.0,0.0,0.0,0.0,7.4,7.4,7.4,8.8,2023-12-31,7614_2023-12-31 00:40:00
100,7614,2023-12-31 01:40:00,0.0,0.0,0.0,0.0,0.0,7.4,7.4,7.4,8.4,2023-12-31,7614_2023-12-31 01:40:00
101,7614,2023-12-31 02:40:00,0.0,0.0,0.0,0.0,0.0,7.4,7.4,7.4,8.4,2023-12-31,7614_2023-12-31 02:40:00
102,7614,2023-12-31 03:40:00,0.0,0.0,0.0,0.0,0.0,7.4,7.4,7.4,8.4,2023-12-31,7614_2023-12-31 03:40:00
103,7614,2023-12-31 04:40:00,0.0,0.0,0.0,0.0,0.0,7.4,7.4,7.4,7.6,2023-12-31,7614_2023-12-31 04:40:00
104,7614,2023-12-31 05:40:00,0.0,0.0,0.0,0.0,0.0,7.4,7.4,7.4,7.6,2023-12-31,7614_2023-12-31 05:40:00
105,7614,2023-12-31 09:30:00,0.2,0.2,0.2,2.4,2.4,2.4,9.8,9.8,9.8,2023-12-31,7614_2023-12-31 09:30:00
106,7593,2023-12-31 00:10:00,0.0,0.0,0.0,0.0,0.6000000000000001,12.8,12.8,12.8,15.6,2023-12-31,7593_2023-12-31 00:10:00
107,7593,2023-12-31 21:10:00,0.0,0.0,0.0,0.0,2.4,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 21:10:00
108,7593,2023-12-31 20:10:00,0.0,0.0,0.0,0.0,2.4,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 20:10:00
109,7593,2023-12-31 19:10:00,0.0,0.0,0.0,0.0,2.4,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 19:10:00
110,7593,2023-12-31 18:10:00,0.0,0.0,0.0,0.0,2.8,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 18:10:00
111,7593,2023-12-31 17:10:00,0.0,0.0,0.0,0.0,2.8,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 17:10:00
112,7593,2023-12-31 16:10:00,0.0,0.0,0.0,0.6000000000000001,2.8,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 16:10:00
113,7593,2023-12-31 15:10:00,0.0,0.0,0.0,2.4,2.8,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 15:10:00
114,7593,2023-12-31 14:10:00,0.0,0.0,0.0,2.4,2.8,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 14:10:00
115,7593,2023-12-31 13:10:00,0.0,0.0,0.6000000000000001,2.4,2.8,3.6,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 13:10:00
116,7593,2023-12-31 12:10:00,0.0,0.0,2.4,2.8,3.0,3.6,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 12:10:00
117,7593,2023-12-31 11:10:00,0.0,0.6000000000000001,2.4,2.8,3.0,3.6,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 11:10:00
118,7601,2023-12-31 00:40:00,0.6000000000000001,2.2,2.2,2.2,2.2,25.6,25.6,25.6,29.0,2023-12-31,7601_2023-12-31 00:40:00
119,7601,2023-12-31 12:20:00,0.0,0.0,0.0,0.0,3.2,3.2,26.6,26.6,26.6,2023-12-31,7601_2023-12-31 12:20:00
120,7601,2023-12-31 11:20:00,0.0,0.0,0.0,0.0,3.2,3.2,26.6,26.6,26.6,2023-12-31,7601_2023-12-31 11:20:00
121,7601,2023-12-31 09:20:00,0.0,0.0,0.0,0.0,3.2,3.4,26.6,26.6,26.8,2023-12-31,7601_2023-12-31 09:20:00
122,7601,2023-12-31 08:20:00,0.0,0.0,0.0,0.0,3.2,6.6,26.6,26.6,26.8,2023-12-31,7601_2023-12-31 08:20:00
123,7601,2023-12-31 07:20:00,0.0,0.0,0.0,0.0,3.2,26.4,26.6,26.6,26.8,2023-12-31,7601_2023-12-31 07:20:00
124,7601,2023-12-31 05:20:00,0.0,0.0,0.0,3.2,3.2,26.6,26.6,26.6,26.8,2023-12-31,7601_2023-12-31 05:20:00
125,7601,2023-12-31 01:10:00,0.2,3.2,3.2,3.2,3.2,26.6,26.6,26.6,29.8,2023-12-31,7601_2023-12-31 01:10:00
126,7601,2023-12-31 02:20:00,0.0,0.0,3.2,3.2,3.2,26.6,26.6,26.6,29.8,2023-12-31,7601_2023-12-31 02:20:00
127,7601,2023-12-31 03:20:00,0.0,0.0,3.2,3.2,3.2,26.6,26.6,26.6,29.2,2023-12-31,7601_2023-12-31 03:20:00
128,7601,2023-12-31 04:20:00,0.0,0.0,0.0,3.2,3.2,26.6,26.6,26.6,27.4,2023-12-31,7601_2023-12-31 04:20:00
129,7601,2023-12-31 10:20:00,0.0,0.0,0.0,0.0,3.2,3.2,26.6,26.6,26.8,2023-12-31,7601_2023-12-31 10:20:00
130,7606,2023-12-31 20:50:00,0.0,0.0,0.0,0.0,0.8,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 20:50:00
131,7606,2023-12-31 19:50:00,0.0,0.0,0.0,0.0,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 19:50:00
132,7606,2023-12-31 18:50:00,0.0,0.0,0.0,0.0,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 18:50:00
133,7606,2023-12-31 17:50:00,0.0,0.0,0.0,0.0,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 17:50:00
134,7606,2023-12-31 16:50:00,0.0,0.0,0.0,0.0,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 16:50:00
135,7606,2023-12-31 15:50:00,0.0,0.0,0.0,0.0,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 15:50:00
136,7606,2023-12-31 14:50:00,0.0,0.0,0.0,0.8,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 14:50:00
137,7606,2023-12-31 13:50:00,0.0,0.0,0.0,3.6,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 13:50:00
138,7606,2023-12-31 12:50:00,0.0,0.0,0.0,3.6,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 12:50:00
139,7606,2023-12-31 11:50:00,0.0,0.0,0.8,3.6,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 11:50:00
140,7606,2023-12-31 10:50:00,0.0,0.0,3.6,3.6,3.6,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 10:50:00
141,7606,2023-12-31 09:30:00,0.2,3.6,3.6,3.6,3.6,5.8,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 09:30:00
142,7606,2023-12-31 09:50:00,0.0,0.8,3.6,3.6,3.6,5.8,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 09:50:00
143,3045,2023-12-31 05:20:00,0.0,0.0,0.0,0.0,0.2,6.16,6.16,6.16,6.76,2023-12-31,3045_2023-12-31 05:20:00
144,3045,2023-12-31 00:20:00,0.0,0.0,0.0,0.2,0.4,6.16,6.16,6.16,7.5600000000000005,2023-12-31,3045_2023-12-31 00:20:00
145,3045,2023-12-31 01:20:00,0.0,0.0,0.0,0.0,0.4,6.16,6.16,6.16,7.36,2023-12-31,3045_2023-12-31 01:20:00
146,3045,2023-12-31 02:20:00,0.0,0.0,0.0,0.0,0.2,6.16,6.16,6.16,7.16,2023-12-31,3045_2023-12-31 02:20:00
147,3045,2023-12-31 03:20:00,0.0,0.0,0.0,0.0,0.2,6.16,6.16,6.16,6.96,2023-12-31,3045_2023-12-31 03:20:00
148,3045,2023-12-31 04:20:00,0.0,0.0,0.0,0.0,0.2,6.16,6.16,6.16,6.96,2023-12-31,3045_2023-12-31 04:20:00
149,3044,2023-12-31 06:40:00,0.0,0.0,0.0,0.2,0.4,13.39,14.39,14.59,14.79,2023-12-31,3044_2023-12-31 06:40:00
150,3044,2023-12-31 07:40:00,0.0,0.0,0.0,0.2,0.2,5.91,14.39,14.59,14.79,2023-12-31,3044_2023-12-31 07:40:00
151,3044,2023-12-31 03:40:00,0.0,0.2,0.2,0.2,0.4,13.59,14.39,14.59,17.16,2023-12-31,3044_2023-12-31 03:40:00
152,3044,2023-12-31 04:40:00,0.0,0.0,0.2,0.2,0.4,13.59,14.39,14.59,15.39,2023-12-31,3044_2023-12-31 04:40:00
153,3044,2023-12-31 05:40:00,0.0,0.0,0.2,0.2,0.4,13.59,14.39,14.59,15.19,2023-12-31,3044_2023-12-31 05:40:00
154,3043,2023-12-31 20:30:00,0.0,0.0,0.0,0.0,0.79,0.99,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 20:30:00
155,3043,2023-12-31 19:30:00,0.0,0.0,0.0,0.0,0.79,0.99,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 19:30:00
156,3043,2023-12-31 18:30:00,0.0,0.0,0.0,0.0,0.79,0.99,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 18:30:00
157,3043,2023-12-31 17:30:00,0.0,0.0,0.0,0.0,0.99,1.19,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 17:30:00
158,3043,2023-12-31 16:30:00,0.0,0.0,0.0,0.0,0.99,1.19,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 16:30:00
159,3043,2023-12-31 15:30:00,0.0,0.0,0.0,0.79,0.99,1.19,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 15:30:00
160,3043,2023-12-31 14:30:00,0.0,0.0,0.0,0.79,0.99,1.19,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 14:30:00
161,3043,2023-12-31 13:30:00,0.0,0.0,0.0,0.79,0.99,1.19,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 13:30:00
162,3043,2023-12-31 12:30:00,0.0,0.0,0.79,0.79,0.99,1.19,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 12:30:00
163,3043,2023-12-31 11:30:00,0.0,0.0,0.79,0.99,0.99,1.19,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 11:30:00
164,3043,2023-12-31 09:50:00,0.2,0.79,0.79,0.99,0.99,1.19,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 09:50:00
165,3043,2023-12-31 10:30:00,0.0,0.79,0.79,0.99,0.99,1.19,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 10:30:00
166,3043,2023-12-31 04:30:00,0.0,0.0,0.0,0.0,0.2,4.93,4.93,4.93,5.73,2023-12-31,3043_2023-12-31 04:30:00
167,3043,2023-12-31 00:30:00,0.0,0.0,0.0,0.0,0.2,4.93,4.93,4.93,6.33,2023-12-31,3043_2023-12-31 00:30:00
168,3043,2023-12-31 01:30:00,0.0,0.0,0.0,0.0,0.2,4.93,4.93,4.93,6.33,2023-12-31,3043_2023-12-31 01:30:00
169,3043,2023-12-31 02:30:00,0.0,0.0,0.0,0.0,0.2,4.93,4.93,4.93,6.33,2023-12-31,3043_2023-12-31 02:30:00
170,3043,2023-12-31 03:30:00,0.0,0.0,0.0,0.0,0.2,4.93,4.93,4.93,6.33,2023-12-31,3043_2023-12-31 03:30:00
171,3043,2023-12-31 05:30:00,0.0,0.0,0.0,0.0,0.2,4.93,4.93,4.93,5.53,2023-12-31,3043_2023-12-31 05:30:00
172,7615,2023-12-31 07:50:00,0.0,0.0,0.0,0.0,0.0,7.2,12.4,12.4,12.6,2023-12-31,7615_2023-12-31 07:50:00
