id,geometry
88a8a068d9fffff,"POLYGON((-43.2175994855154 -22.8268922819037, -43.2134301282833 -22.8238878633842, -43.2143428372961 -22.8192069626152, -43.2194248312792 -22.8175305142384, -43.223594157499 -22.8205350001824, -43.2226815207598 -22.8252158670671, -43.2175994855154 -22.8268922819037))"
88a8a0666bfffff,"POLYGON((-43.4624409954101 -22.9123211435581, -43.4582707106132 -22.9093264930901, -43.4591815634353 -22.9046492350554, -43.4642626275341 -22.9029666637849, -43.4684328775695 -22.9059613823733, -43.4675220982792 -22.9106386041003, -43.4624409954101 -22.9123211435581))"
88a8a02e65fffff,"POLYGON((-43.7448809407197 -22.9016706113835, -43.7407104901046 -22.8986833347994, -43.7416190044615 -22.8940045111006, -43.7466978944974 -22.8923130030581, -43.7508683060437 -22.8953003483727, -43.7499598666345 -22.8999791329879, -43.7448809407197 -22.9016706113835))"
88a8a0295dfffff,"POLYGON((-43.5549534410256 -22.9254137631565, -43.5507829708317 -22.9224221276083, -43.5516930862245 -22.917745236747, -43.5567735978223 -22.9160600186402, -43.5609440318411 -22.9190517225378, -43.560033990449 -22.9237285761812, -43.5549534410256 -22.9254137631565))"
88a8a02125fffff,"POLYGON((-43.6605076965551 -22.969102498682, -43.6563368516616 -22.9661153717549, -43.657246161276 -22.9614404646998, -43.6623262412543 -22.9597527228176, -43.6664970483573 -22.9627399184107, -43.665587813284 -22.9674147872085, -43.6605076965551 -22.969102498682))"
88a8a0754bfffff,"POLYGON((-43.4003045548017 -23.0115820898606, -43.3961336952138 -23.0085893657303, -43.3970451961845 -23.0039177007548, -43.4021274835138 -23.0022387956101, -43.4062983092786 -23.0052315879101, -43.405386881549 -23.0099032171734, -43.4003045548017 -23.0115820898606))"
88a8a06a95fffff,"POLYGON((-43.2273698584612 -22.849943646178, -43.2232003322954 -22.8469403259333, -43.2241129961166 -22.8422606239224, -43.2291951137869 -22.8405842761305, -43.2333646087888 -22.8435876638654, -43.2324520172961 -22.8482673318905, -43.2273698584612 -22.849943646178))"
88a8a02199fffff,"POLYGON((-43.7579293664294 -22.932327279112, -43.7537587080013 -22.9293414902435, -43.7546671579384 -22.9246642726556, -43.759746191295 -22.9229728831374, -43.7639168104517 -22.925958740823, -43.7630084355348 -22.9306359191983, -43.7579293664294 -22.932327279112))"
88a8a028d5fffff,"POLYGON((-43.658373147142 -22.882316480385, -43.6542028748758 -22.8793261095874, -43.6551120775896 -22.8746465372777, -43.6601914780712 -22.8729573739853, -43.6643617125898 -22.8759478132819, -43.663452584386 -22.8806273473604, -43.658373147142 -22.882316480385))"
88a8a0285bfffff,"POLYGON((-43.6349501341598 -22.9294832090907, -43.630779568623 -22.926493922551, -43.631689032206 -22.9218169683521, -43.6367689869339 -22.9201293386856, -43.6409395150748 -22.9231186937606, -43.6400301258953 -22.9277956099554, -43.6349501341598 -22.9294832090907))"
88a8a02931fffff,"POLYGON((-43.5386523603274 -22.8870634189554, -43.5344821583605 -22.8840699337843, -43.5353923522744 -22.8793910376395, -43.540472674257 -22.8777056637079, -43.544642840302 -22.8806992171199, -43.5437327202979 -22.8853780762111, -43.5386523603274 -22.8870634189554))"
88a8a07583fffff,"POLYGON((-43.4384719609127 -22.9377535711014, -43.4343015379781 -22.9347591931035, -43.4352126225387 -22.9300833951351, -43.4402940566288 -22.9284020112289, -43.4444644451651 -22.9313964573426, -43.4435534340213 -22.9360722192351, -43.4384719609127 -22.9377535711014))"
