primary_key,id_estacao,data_medicao,altura_agua,data_particao
5_2024-03-22 14:00:00,5,2024-03-22 14:00:00,,2024-03-22
5_2024-03-22 14:15:00,5,2024-03-22 14:15:00,,2024-03-22
5_2024-03-22 13:30:00,5,2024-03-22 13:30:00,,2024-03-22
5_2024-03-22 12:30:00,5,2024-03-22 12:30:00,,2024-03-22
5_2024-03-22 11:15:00,5,2024-03-22 11:15:00,,2024-03-22
5_2024-03-22 11:30:00,5,2024-03-22 11:30:00,,2024-03-22
5_2024-03-22 10:45:00,5,2024-03-22 10:45:00,,2024-03-22
5_2024-03-22 08:00:00,5,2024-03-22 08:00:00,,2024-03-22
5_2024-03-22 08:45:00,5,2024-03-22 08:45:00,,2024-03-22
5_2024-03-22 08:15:00,5,2024-03-22 08:15:00,,2024-03-22
5_2024-03-22 07:15:00,5,2024-03-22 07:15:00,,2024-03-22
5_2024-03-22 07:00:00,5,2024-03-22 07:00:00,,2024-03-22
5_2024-03-22 03:30:00,5,2024-03-22 03:30:00,,2024-03-22
5_2024-03-22 02:15:00,5,2024-03-22 02:15:00,,2024-03-22
5_2024-03-22 02:30:00,5,2024-03-22 02:30:00,,2024-03-22
5_2024-03-22 09:15:00,5,2024-03-22 09:15:00,,2024-03-22
5_2024-03-22 10:15:00,5,2024-03-22 10:15:00,,2024-03-22
5_2024-03-22 09:30:00,5,2024-03-22 09:30:00,,2024-03-22
5_2024-03-22 15:15:00,5,2024-03-22 15:15:00,,2024-03-22
5_2024-03-22 13:00:00,5,2024-03-22 13:00:00,0.75,2024-03-22
5_2024-03-22 06:45:00,5,2024-03-22 06:45:00,0.09,2024-03-22
5_2024-03-22 06:30:00,5,2024-03-22 06:30:00,0.09,2024-03-22
5_2024-03-22 06:00:00,5,2024-03-22 06:00:00,0.09,2024-03-22
5_2024-03-22 05:00:00,5,2024-03-22 05:00:00,0.09,2024-03-22
5_2024-03-22 05:15:00,5,2024-03-22 05:15:00,0.09,2024-03-22
5_2024-03-22 04:15:00,5,2024-03-22 04:15:00,0.09,2024-03-22
5_2024-03-22 04:00:00,5,2024-03-22 04:00:00,0.09,2024-03-22
5_2024-03-22 03:15:00,5,2024-03-22 03:15:00,0.09,2024-03-22
5_2024-03-22 03:00:00,5,2024-03-22 03:00:00,0.09,2024-03-22
5_2024-03-22 03:45:00,5,2024-03-22 03:45:00,0.09,2024-03-22
5_2024-03-22 06:15:00,5,2024-03-22 06:15:00,0.09,2024-03-22
5_2024-03-22 09:45:00,5,2024-03-22 09:45:00,0.18,2024-03-22
5_2024-03-22 18:00:00,5,2024-03-22 18:00:00,0.69,2024-03-22
5_2024-03-22 22:00:00,5,2024-03-22 22:00:00,1.13,2024-03-22
5_2024-03-22 02:00:00,5,2024-03-22 02:00:00,0.11,2024-03-22
5_2024-03-22 08:30:00,5,2024-03-22 08:30:00,0.15,2024-03-22
5_2024-03-22 09:00:00,5,2024-03-22 09:00:00,0.15,2024-03-22
5_2024-03-22,5,,0.15,2024-03-22
5_2024-03-22 18:15:00,5,2024-03-22 18:15:00,0.6,2024-03-22
5_2024-03-22 12:45:00,5,2024-03-22 12:45:00,0.6,2024-03-22
5_2024-03-22 21:45:00,5,2024-03-22 21:45:00,1.2,2024-03-22
5_2024-03-22 21:15:00,5,2024-03-22 21:15:00,1.2,2024-03-22
5_2024-03-22 12:15:00,5,2024-03-22 12:15:00,0.41,2024-03-22
5_2024-03-22 19:15:00,5,2024-03-22 19:15:00,0.79,2024-03-22
5_2024-03-22 12:00:00,5,2024-03-22 12:00:00,0.38,2024-03-22
5_2024-03-22 21:00:00,5,2024-03-22 21:00:00,1.15,2024-03-22
5_2024-03-22 10:30:00,5,2024-03-22 10:30:00,0.23,2024-03-22
5_2024-03-22 16:30:00,5,2024-03-22 16:30:00,0.67,2024-03-22
5_2024-03-22 17:00:00,5,2024-03-22 17:00:00,0.67,2024-03-22
5_2024-03-22 13:45:00,5,2024-03-22 13:45:00,0.92,2024-03-22
5_2024-03-22 05:30:00,5,2024-03-22 05:30:00,0.08,2024-03-22
5_2024-03-22 05:45:00,5,2024-03-22 05:45:00,0.08,2024-03-22
5_2024-03-22 04:45:00,5,2024-03-22 04:45:00,0.08,2024-03-22
5_2024-03-22 04:30:00,5,2024-03-22 04:30:00,0.08,2024-03-22
5_2024-03-22 11:45:00,5,2024-03-22 11:45:00,0.32,2024-03-22
5_2024-03-22 18:45:00,5,2024-03-22 18:45:00,0.64,2024-03-22
5_2024-03-22 02:45:00,5,2024-03-22 02:45:00,0.1,2024-03-22
5_2024-03-22 17:30:00,5,2024-03-22 17:30:00,0.8,2024-03-22
5_2024-03-22 13:15:00,5,2024-03-22 13:15:00,0.8,2024-03-22
5_2024-03-22 01:15:00,5,2024-03-22 01:15:00,0.13,2024-03-22
5_2024-03-22 01:00:00,5,2024-03-22 01:00:00,0.13,2024-03-22
5_2024-03-22 00:45:00,5,2024-03-22 00:45:00,0.13,2024-03-22
5_2024-03-22 00:30:00,5,2024-03-22 00:30:00,0.13,2024-03-22
5_2024-03-22 07:45:00,5,2024-03-22 07:45:00,0.13,2024-03-22
5_2024-03-22 19:45:00,5,2024-03-22 19:45:00,0.74,2024-03-22
5_2024-03-22 20:00:00,5,2024-03-22 20:00:00,0.74,2024-03-22
5_2024-03-22 07:30:00,5,2024-03-22 07:30:00,0.12,2024-03-22
5_2024-03-22 01:30:00,5,2024-03-22 01:30:00,0.12,2024-03-22
5_2024-03-22 01:45:00,5,2024-03-22 01:45:00,0.12,2024-03-22
5_2024-03-22 11:00:00,5,2024-03-22 11:00:00,0.24,2024-03-22
5_2024-03-22 10:00:00,5,2024-03-22 10:00:00,0.17,2024-03-22
5_2024-03-22 14:30:00,5,2024-03-22 14:30:00,0.93,2024-03-22
5_2024-03-22 16:45:00,5,2024-03-22 16:45:00,0.65,2024-03-22
5_2024-03-22 15:30:00,5,2024-03-22 15:30:00,0.9,2024-03-22
5_2024-03-22 15:00:00,5,2024-03-22 15:00:00,1.05,2024-03-22
5_2024-03-22 00:15:00,5,2024-03-22 00:15:00,0.14,2024-03-22
5_2024-03-22 15:45:00,5,2024-03-22 15:45:00,0.81,2024-03-22
5_2024-03-22 20:15:00,5,2024-03-22 20:15:00,0.78,2024-03-22
5_2024-03-22 20:45:00,5,2024-03-22 20:45:00,1.06,2024-03-22
5_2024-03-22 22:45:00,5,2024-03-22 22:45:00,0.87,2024-03-22
5_2024-03-22 23:00:00,5,2024-03-22 23:00:00,0.78,2024-03-22
5_2024-03-21 23:45:00,5,2024-03-21 23:45:00,0.15,2024-03-21
5_2024-03-21 23:15:00,5,2024-03-21 23:15:00,,2024-03-21
5_2024-03-21 23:30:00,5,2024-03-21 23:30:00,0.16,2024-03-21
2_2024-03-21 21:45:00,2,2024-03-21 21:45:00,0.33,2024-03-21
2_2024-03-21 22:00:00,2,2024-03-21 22:00:00,0.33,2024-03-21
2_2024-03-21 21:30:00,2,2024-03-21 21:30:00,0.33,2024-03-21
2_2024-03-21 21:15:00,2,2024-03-21 21:15:00,0.33,2024-03-21
2_2024-03-21 20:15:00,2,2024-03-21 20:15:00,0.33,2024-03-21
2_2024-03-21 20:45:00,2,2024-03-21 20:45:00,0.33,2024-03-21
2_2024-03-21 21:00:00,2,2024-03-21 21:00:00,0.33,2024-03-21
2_2024-03-21 20:00:00,2,2024-03-21 20:00:00,0.33,2024-03-21
2_2024-03-21 19:15:00,2,2024-03-21 19:15:00,0.33,2024-03-21
2_2024-03-21 19:45:00,2,2024-03-21 19:45:00,0.33,2024-03-21
2_2024-03-21 19:30:00,2,2024-03-21 19:30:00,0.33,2024-03-21
2_2024-03-21 18:30:00,2,2024-03-21 18:30:00,0.33,2024-03-21
2_2024-03-21 18:15:00,2,2024-03-21 18:15:00,0.33,2024-03-21
2_2024-03-21 19:00:00,2,2024-03-21 19:00:00,0.33,2024-03-21
2_2024-03-21 18:45:00,2,2024-03-21 18:45:00,0.33,2024-03-21
2_2024-03-21 17:45:00,2,2024-03-21 17:45:00,0.33,2024-03-21
